r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
34.6919   40142   -0.00227807   -0.073967   -0.0211445
34.7514   120826   0.00413469   0.0444051   0.0227567
34.8109   47402   -0.00263421   0.0530846   0.0252285
34.8702   80882   0.000969571   0.00508715   0.0226097
34.9295   81548   0.00212925   -0.0030722   0.00300629
35.0477   20106   0.0143607   0.155411   -0.0843505
35.1066   162080   -0.00100826   0.013644   0.0802164
35.1655   182358   -0.00518378   -0.030506   0.103852
35.2243   40528   -0.0153534   0.00771321   -0.0234827
35.2829   80514   -0.00418994   0.0333498   -0.12196
35.3415   80660   0.00428416   0.144902   0.0454122
35.3999   80828   0.000743471   -0.00932057   0.00970882
35.5166   40332   0.00557063   0.132736   0.0924271
35.5748   101420   0.00161881   0.0993655   0.0739949
35.6328   201624   -0.000364066   -0.0534659   0.0196984
35.6908   80840   0.00267654   0.0926239   -0.0107944
35.8065   120276   -0.00537928   -0.0669081   -0.0343374
35.8642   80496   -0.00185894   0.0750459   -0.0828568
35.9794   40474   -0.0148679   -0.00131533   -0.0135124
36.0368   181254   -0.00092255   0.122188   0.0339922
36.0941   80104   0.00558764   0.058798   0.0442442
36.1514   40704   0.0119502   -0.0174754   -0.140505
36.2085   80674   0.00140489   0.05344   0.0887031
36.2656   122182   0.00042018   0.0838491   -0.124356
36.3226   161266   0.00434492   0.0168144   0.02593
36.4363   20330   -0.00369444   0.327883   0.270107
36.493   161358   -0.00140736   0.0202081   0.0105354
36.5496   40428   -0.00239412   0.0860912   0.170193
36.6061   60970   0.00493462   0.148816   0.139555
36.6626   40738   0.0140925   -0.0501948   0.0783656
36.7189   80652   0.0075521   -0.00233464   -0.0576406
36.7752   39978   -0.0048595   0.208589   0.029105
36.8875   39924   -0.00606228   0.224025   -0.104886
36.9435   60856   -0.0102013   -0.140049   0.0230416
36.9994   141812   0.00340084   0.0453981   -0.020292
37.0553   61006   0.00552677   -0.0956885   0.000684516
37.1111   40346   -0.0109611   0.122987   0.0877784
37.1667   322466   0.00510547   0.00257324   0.0212354
37.2778   60464   0.00727963   0.0400747   0.0880973
37.3333   80854   0.00703325   0.0396732   0.0813541
37.3886   120852   -0.00552249   -0.0147088   0.0337394
37.4439   59604   -0.00178748   0.0589537   0.0330826
37.5542   81192   0.00975118   0.171629   0.12555
37.6092   120954   0.00530344   0.0592704   -0.0346359
37.719   20760   -0.00198565   0.127697   -0.0622943
37.7738   100990   0.0096143   0.0650085   -0.0768096
37.8285   81472   0.00837366   -0.193075   -0.00272322
37.8831   80600   0.013168   0.167194   0.110159
37.9377   120866   0.0020016   0.027563   0.120638
37.9922   39810   -0.0145979   -0.0180615   -0.103294
38.0465   20372   0.016014   0.0264056   0.13576
38.1551   80106   0.0016545   0.01155   0.0487576
38.2093   40796   0.0182332   -0.115263   0.197715
38.2633   121846   0.00303827   -0.0162369   0.00775729
38.3173   27378   0.00911103   0.00784122   -0.195498
38.4251   162482   0.00222243   0.00928018   0.114089
38.4789   81030   0.00936434   -0.00142483   0.00245793
38.6398   163214   0.00814726   0.147571   0.0745802
38.6933   81244   0.0139417   0.118115   -0.0772562
38.7467   81742   0.00794577   -0.121159   -0.116744
38.8   40204   -0.000458487   0.263335   0.0426401
38.8533   81170   0.00684612   0.146213   0.00847138
38.9065   100926   0.0157868   -0.0642962   0.140897
39.0126   40952   0.0121675   -0.190519   -0.0819702
39.0656   122560   -0.000862613   0.0434803   0.0387482
39.1185   79788   -0.000909079   0.178473   -0.0514597
39.2768   161330   0.00773882   0.00399263   0.0182895
39.3294   40088   0.0188858   -0.0675571   0.253566
39.4344   20694   0.0307034   0.0998785   -0.0256146
39.4868   39954   0.0106044   -0.0643154   -0.24583
39.5391   101506   0.0125039   0.0652593   0.009022
39.5914   41440   0.0117816   0.0215943   0.0554264
39.6436   20548   0.00510722   -0.248838   0.327963
39.6957   81892   0.0193589   0.0479735   0.159098
39.7478   82512   0.00725439   -0.0432185   -0.188005
39.7998   61098   0.0100385   -0.129768   0.0689225
39.8517   60084   0.00618699   0.173377   -0.0406319
39.9036   123152   0.00368235   0.000262247   0.0121188
39.9553   80944   0.0138525   0.133813   0.0301837
40.0071   40752   0.00479685   0.00868292   0.0904341
40.1103   81622   0.00754455   0.183938   0.0772308
40.2133   40434   -0.000287745   -0.0253556   0.00693215
40.2647   142616   0.0150157   0.00907297   0.0129391
40.316   61098   0.00784532   0.166644   -0.127665
40.3673   40220   0.00981241   -0.315875   0.100477
40.4185   81742   0.00582679   -0.0832334   0.114601
40.4696   81474   0.0246914   0.16333   -0.0641382
40.5207   41458   0.0217713   0.0630868   0.208373
40.6226   19860   0.0101282   0.288059   -0.050014
40.6735   60832   0.00372485   -0.00686101   0.0283995
40.7243   80686   0.0178168   0.0688302   0.0652429
40.775   20540   0.00455305   0.145722   -0.181514
40.8763   81518   0.00998551   0.0272714   0.0917576
40.9269   40822   0.00273335   -0.195546   0.0595637
41.0278   40066   0.0113928   0.0121273   0.155456
41.0782   61900   0.00398791   0.0409819   0.11209
41.1285   61334   0.0248432   0.160874   -0.00725307
41.1787   61562   0.00595608   -0.0619115   -0.0241919
41.2289   41524   0.0398071   -0.0766305   0.0792905
41.2791   81710   0.00053434   -0.0500103   -0.0933702
41.3291   40846   0.0104902   0.281952   0.19217
41.479   142944   0.00958538   -0.0443593   0.0524477
41.5288   81804   0.019521   0.0583251   0.0221025
41.5785   40826   0.0162645   0.260535   -0.0202994
41.6283   20412   0.00350554   -0.0582981   0.0828621
41.6779   81794   0.00481533   0.0409543   -0.0334839
41.7275   80622   0.0109896   -0.0739975   0.140909
41.8265   6772   -0.010967   -0.202728   -0.486031
41.8759   40308   0.0183281   -0.0798466   -0.166379
41.9252   81582   0.00252603   -0.143024   -0.124448
42.0238   40386   0.0201373   0.0654043   -0.0024789
42.073   81654   0.0199212   0.185106   0.0651882
42.1221   41314   -0.0054909   -0.258232   -0.0665623
42.1711   40924   -0.00680879   0.235952   -0.23199
42.2202   101416   0.0187582   0.0419551   0.18165
42.318   40554   0.0109887   0.0634322   -0.0927598
42.4643   122656   0.00333576   0.0203563   0.0555352
42.6102   40296   0.0246633   -0.0328137   -0.0502391
42.6587   101020   0.00993606   0.030494   0.0851786
42.7071   20242   0.00730425   0.683497   -0.0520368
42.7555   40722   0.00522228   0.0228065   0.220056
42.8039   40798   0.00892179   -0.0511333   0.0883697
42.8522   20100   0.00630622   0.122141   -0.0273453
42.9486   81338   0.00985248   0.116638   0.156416
42.9967   61040   -0.000369709   0.0716848   -0.0809476
43.0448   81020   0.0165606   -0.0591876   -0.0105041
43.0928   40060   -0.00384612   0.135691   0.126113
43.1886   121234   0.0035859   -0.120173   0.0382307
43.332   39956   0.0259497   0.05962   -0.0398942
43.3797   40510   -0.0107597   0.204205   -0.0741507
43.4274   19656   0.00861441   -0.131804   -0.236479
43.475   20418   0.00177165   -0.0405495   0.277954
43.5225   40138   0.00674998   0.11053   -0.0793674
43.57   40458   -0.000368194   0.00145693   0.105113
43.6174   40572   0.00381732   -0.209964   -0.0677417
43.7594   20224   -0.0113753   0.0933099   0.00649244
43.8067   40214   0.0152788   -0.111782   -0.145558
43.8538   60200   0.00282318   0.0530581   0.0626367
43.9481   81068   0.0155028   0.0786618   -0.168269
44.1359   80416   0.00994779   -0.0221876   -0.127521
44.1827   60992   -0.00351243   0.0724199   0.202837
44.2762   20416   -0.0243846   -0.260799   -0.1269
44.3229   80170   0.00233234   0.0437505   0.148863
44.3695   61042   -0.0116454   0.0844795   -0.145446
44.4161   40292   0.0124474   0.167162   -0.179383
44.4626   39964   0.0110484   -0.0970205   0.198494
44.5091   79932   -0.00148861   0.0148137   0.0595039
44.6019   20058   -0.0169775   -0.0983008   -0.395587
44.6946   40072   -0.00925706   -0.138345   -0.0609401
44.8332   39502   0.00811576   0.0281498   0.0587851
44.8793   20442   0.00579376   -0.0163495   0.00133458
44.9253   20136   0.00430378   -0.341932   -0.266549
44.9713   40236   0.00430754   -0.174453   0.247791
45.0173   40374   0.0066436   0.431673   0.0738035
45.0632   39850   -0.00817603   -0.268495   0.119716
45.2464   79874   0.00805102   0.361948   -0.0522619
45.2921   6816   -0.0320558   -0.223083   0.0829907
45.3833   40904   -0.0265299   -0.356361   -0.102368
45.5198   19936   0.00464684   -0.194811   -0.214424
45.5652   60468   -0.0120319   -0.148645   0.0705929
45.6105   20186   -0.00563187   -0.0819896   -0.421142
45.6559   40516   -0.020067   0.327204   0.0616251
45.7011   60118   0.00206152   0.0549718   -0.134297
45.7464   40570   0.011551   0.18582   -0.00557085
45.9268   100014   -0.00837576   -0.0789641   -0.0947255
46.1066   40006   -0.0060439   0.089134   0.0567601
46.2409   19732   0.00635384   0.239504   0.589051
46.3303   40256   0.00539253   0.154995   0.117595
46.3749   19842   -0.0122599   -0.0608008   -0.0403306
46.464   39574   -0.00723647   -0.0285998   0.148638
46.5085   20404   -0.035089   -0.235621   -0.249462
46.5973   40284   -0.00679447   0.268536   0.0973332
46.6417   40526   -0.0271294   0.129642   -0.135719
46.8187   40110   -0.0149743   0.038695   0.0126732
46.9069   20254   -0.0236697   -0.183755   -0.427894
46.951   40338   -0.00599792   -0.118989   0.00565368
46.995   40068   -0.015226   -0.0932685   -0.0927266
47.0829   20412   0.00977659   0.0630731   0.138796
47.1707   19738   -0.0119854   -0.0712793   -0.172865
47.2583   39740   -0.0104078   -0.0271383   0.0153504
47.6505   40714   -0.0132809   0.417169   -0.111118
47.6939   39766   -0.0105478   -0.0273618   -0.101214
47.7372   20170   -0.02895   -0.0816009   0.483783
47.8238   40322   -0.0225932   -0.276213   -0.128388
47.9964   40274   -0.0269097   -0.0535481   -0.215149
48.0825   19920   -0.0134743   -0.412982   -0.244749
48.1684   39716   -0.0169188   0.216231   -0.400088
48.2971   20254   -0.00727485   0.219443   -0.259916
48.5107   39662   -0.00655749   0.0867635   -0.0198241
48.7658   6850   -0.0276382   -0.287688   -0.175775
48.8505   40236   -0.0249803   -0.338256   -0.0730153
48.9773   19996   -0.0128521   0.245106   -0.071014
49.0195   40042   -0.0268644   -0.317834   -0.126345
49.1038   40272   -0.0250487   -0.184329   -0.241094
49.3559   40018   -0.00708728   -0.084743   0.305708
49.7731   19810   -0.00434036   0.195887   0.0271187
49.9804   20096   -0.0253287   -0.390053   -0.0924694
50.0631   20236   -0.0229021   -0.0162578   0.0994377
50.1456   40026   -0.0259149   0.00036276   -0.17926
50.3103   40438   -0.0165778   0.0483712   -0.123098
50.6381   20258   -0.0028589   0.0746134   0.47644
51.1258   19946   -0.0270544   0.295665   -0.285113
51.2066   20164   -0.0268541   0.43042   0.474402
51.2873   40424   -0.0248565   -0.144163   0.307713
51.5286   20516   -0.0106445   0.396865   -0.375268
52.2856   6650   -0.0289689   -nan   -nan
52.3646   39862   -0.027212   0.00111891   0.0700513
52.5223   20308   -0.0234417   -0.462751   -0.203071
53.4589   19842   -0.0319898   0.0680601   -0.381131
53.5362   19898   -0.0318171   0.500347   -0.325284
54.6071   19678   -0.032737   0.163654   0.273761
55.7686   6458   -0.0406907   -nan   -nan
