r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
36.7301   191566   -0.0104796   0.0488897   -0.0589972
36.8409   47742   -0.00506421   -0.15293   -0.0331583
36.8962   334820   -0.0109632   -0.00884572   -0.00395058
36.9514   191390   -0.0214544   0.038087   -0.033748
37.0065   96016   0.00606565   0.0564133   0.0262536
37.0615   142038   0.00433374   -0.0799987   0.0765222
37.1165   288284   -0.00275817   -0.0253261   0.0154575
37.1713   381274   -0.00656489   -0.0609413   -0.00807313
37.2808   23560   -0.0169577   -0.0386034   -0.0779903
37.3354   334288   -0.00801224   0.0140847   -0.00419027
37.39   47076   -0.0131931   0.017084   -0.0838661
37.4444   143642   0.00162511   -0.0312215   -0.0336894
37.4988   95346   0.00868105   0.117705   -0.0914928
37.5531   192604   0.0017753   -0.0271813   -0.0136171
37.6074   95088   -0.0218062   0.0324378   -0.0777373
37.7156   17844   -0.0305663   0.150976   0.0817896
37.7696   29196   0.00111099   -0.0474015   -0.0299423
37.8235   95466   0.00412311   0.061541   -0.0414586
37.8773   285052   -0.00610816   0.0063443   0.0288649
37.9311   143504   -0.00298175   -0.00375912   0.0263046
37.9848   96026   -0.037911   0.0148017   -0.0236624
38.0384   381088   -0.0123712   0.0219635   -0.0247011
38.0919   287590   -0.00103005   0.0388078   0.041384
38.1988   144470   -0.014187   -0.0633582   -0.0611228
38.2521   142246   0.00728289   0.0044859   0.0650567
38.3053   240998   -0.00646096   -0.0276931   0.00687136
38.3585   143186   -0.0287503   -0.0489394   -0.0606419
38.4646   191170   -0.00437486   0.0199779   0.0231423
38.5176   287920   -0.00413605   -0.0372353   -0.0429526
38.6232   48506   0.0221408   0.000424944   -0.097465
38.676   190450   0.00584093   0.00293014   -0.0741509
38.7286   167954   0.00988365   0.141073   0.0213638
38.7812   190872   -0.00475591   0.0794789   -0.0793419
38.8337   190666   -0.00924065   -0.0850768   -0.0413453
38.8862   47304   -0.0219446   -0.0566444   -0.0263365
38.9385   48280   0.0185877   0.0412757   0.128157
39.0431   31574   -0.00831185   -0.0950152   -0.0665694
39.0952   111446   0.00951052   -0.0682082   0.0713277
39.1473   95434   0.00883904   -0.0103476   -0.130822
39.1993   238596   0.00372145   0.0031602   -0.00821439
39.2513   63682   0.0117163   0.174416   0.163109
39.355   335676   -0.00344337   0.0961617   0.00230085
39.4068   190394   -0.00702865   0.0213036   0.0320347
39.5616   336136   -0.00705301   0.0061953   0.062974
39.6131   190506   -0.00666754   -0.0246754   -0.00215534
39.6645   192804   0.0148397   0.0463731   0.0590571
39.7158   47632   -0.0138682   0.0347608   -0.0500575
39.7671   142622   -0.0141143   0.00404906   0.0599463
39.8183   238276   0.00506317   -0.0638846   -0.0329703
39.9206   94996   0.015822   -0.0277247   0.0697499
39.9716   240718   0.0153624   0.0149931   0.00776974
40.0225   143178   -0.0197888   -0.132429   -0.0453935
40.175   286624   0.00336521   0.0194175   0.043228
40.2257   95248   0.0142001   0.0252077   -0.0233201
40.3774   23970   0.0115482   0.235189   -0.0549447
40.4278   95716   -0.00459479   -0.0895802   -0.00421841
40.4782   144714   0.00969098   -0.0394897   -0.0649952
40.5285   95578   0.0261484   0.0892422   0.122758
40.5788   48908   0.036939   -0.0793761   0.0193684
40.629   190528   0.0240736   0.00214325   0.00684524
40.6791   192360   0.0224401   0.0140967   0.124848
40.7792   95136   -0.00674774   -0.0422249   0.0128658
40.8291   95230   -0.0161725   0.0860207   0.086548
40.879   287374   0.00704482   -0.0198023   -0.0231373
40.9288   189888   3.97343e-05   0.0858881   -0.0232577
40.9786   95732   0.00873697   0.00549123   0.156688
41.0779   191416   0.00974018   -0.0561846   -0.0349247
41.177   47736   -0.0250351   -0.099367   0.016924
41.2265   238272   0.00667492   -0.0149378   0.0556641
41.2759   95886   0.0181369   0.00949051   0.0889673
41.3252   95664   -0.00428258   -0.0365872   -0.0419842
41.3745   143538   0.0154736   0.0380107   -0.00718995
41.4237   142564   0.0184349   -0.0672406   -0.0142517
41.4729   95680   0.0276014   -0.0999551   0.0918232
41.6201   47534   0.00876401   0.127114   0.0599027
41.669   97096   0.0171233   0.0998351   -0.106298
41.7179   191144   0.0183493   -0.0489488   0.00854036
41.7667   48962   0.0450387   0.0812795   0.0435819
41.8642   144978   0.0359513   -0.0170773   0.00268534
41.9128   94528   0.0349189   0.138217   0.0592606
42.0099   47926   -0.000981132   0.0384552   -0.133493
42.0584   143314   0.0328185   0.0884273   0.030724
42.1069   119088   0.0284657   -0.0551788   0.0203811
42.1552   143230   0.0261483   0.00529106   -0.00637518
42.2035   47750   0.0224562   -0.0049027   0.0373001
42.2518   191024   0.0167535   0.0741445   0.123252
42.3   94848   -0.00933121   0.13235   0.139485
42.4443   238430   0.00585152   0.0554055   -0.00127924
42.4923   95112   0.0034456   -0.0736084   -0.0773308
42.5402   95580   0.0361108   0.0880051   0.00818543
42.5881   47108   0.0282064   -0.0264917   0.0489574
42.6359   142978   0.0244127   -0.00950176   0.0505982
42.6837   190670   0.0177259   0.0367831   0.0719955
42.8267   16380   0.0571926   0.137551   0.217765
42.8742   95358   0.0381816   -0.067666   0.00698322
42.9217   145622   0.0360019   0.0305732   0.0448694
43.0166   47916   0.0203309   0.00822648   -0.0168313
43.064   142590   0.021511   0.0556651   0.115185
43.1112   96990   0.0521341   0.00496871   -0.00429803
43.2057   96562   0.0515782   0.0555987   0.0917548
43.2528   142942   0.0263243   -0.0171568   0.0530578
43.347   94844   0.0364587   0.0884901   0.094382
43.4878   285616   0.0408506   0.112243   0.0499476
43.6281   47676   0.0300355   0.0239505   -0.0221926
43.6748   190602   0.0292981   0.0693751   0.0210442
43.7215   47376   0.004324   0.0746803   -0.0156038
43.768   47698   -0.00614423   0.103677   -0.0145599
43.8146   47578   -0.00468573   0.181099   0.300751
43.8611   47584   0.0159508   -0.0448286   0.0677762
43.9539   15744   0.0362909   -0.11001   0.266228
44.0002   102918   0.0278183   0.00317532   -0.102263
44.0465   143240   0.0437037   0.117437   0.0645728
44.0928   142574   0.0422295   0.0916186   0.0833392
44.139   96330   0.0433513   -0.0108231   -0.0488024
44.2312   192322   0.0408128   0.00194914   0.0617453
44.3692   47584   0.0379968   0.0954672   0.0165736
44.4151   96314   0.0602803   -0.0904867   -0.0442935
44.461   47232   0.0300772   0.255203   -0.153751
44.5068   48246   0.0536778   0.233191   0.177608
44.5526   47564   0.0217905   0.108487   -0.0475107
44.5983   96060   0.0553405   0.0235563   0.16278
44.6439   94434   0.0414885   0.205904   0.0109187
44.7807   47412   0.058021   0.17428   0.0438681
44.8262   47380   0.0374843   0.0757699   -0.038232
44.8716   142126   0.0484416   0.0449456   0.183096
44.9624   95120   0.0376077   -0.0868319   0.0290769
45.1884   95134   0.0264192   0.13825   0.0979011
45.2335   96024   0.0393603   0.0236941   0.117398
45.3235   48684   0.0654136   -0.0989399   0.089424
45.3684   142276   0.0413152   0.0381734   -0.0379142
45.4133   144010   0.0580605   0.0164688   -0.00839558
45.503   47338   0.0353112   0.151759   -0.00790719
45.5478   47458   0.0454912   0.02891   -0.0168857
45.5925   144448   0.0520799   0.047542   0.0482974
45.6818   47904   0.0673379   0.172676   -0.0306167
45.7709   96434   0.0647392   0.0443212   0.114378
45.9043   47172   0.0326319   0.101343   0.112864
45.9487   24102   0.0541812   0.488395   -0.118034
45.993   46992   0.0455797   -0.118699   0.229771
46.0373   47968   0.0571531   0.0376452   -0.0781298
46.0815   47326   0.0417954   0.171544   0.0381581
46.1257   94834   0.0633939   0.00303605   0.0301011
46.3461   94672   0.0458037   -0.0277433   0.141516
46.3901   16122   0.0720931   -0.018925   -0.0756982
46.4779   97100   0.0711358   -0.0214639   -0.0816769
46.6092   11926   0.0112628   -0.241602   -0.0451945
46.6529   108748   0.0648491   -0.0213964   0.003827
46.6966   47066   0.0551091   -0.018722   -0.036912
46.7402   96888   0.0704838   0.0154785   -0.0753914
46.7838   59338   0.0452003   -0.014483   0.161738
46.8273   47164   0.0416891   0.108176   0.106907
47.0011   155996   0.0665474   -0.00349611   -0.0599521
47.1742   48226   0.066246   0.00212981   -0.0550586
47.3467   11824   0.0384922   0.166698   -0.164101
47.4327   47212   0.0462439   0.104947   0.0800429
47.4756   47418   0.068437   0.174248   0.154075
47.5614   47362   0.0632619   0.157734   0.120751
47.6042   48114   0.0727694   0.0671243   -0.0294021
47.6898   48436   0.0736258   0.00413013   -0.0345458
47.7325   11756   0.0384145   -0.0284265   -0.153594
47.7752   97378   0.0732961   0.0416886   0.0142024
47.9455   96528   0.0756204   -0.00218211   0.0204985
48.0304   24388   0.0685515   0.113708   0.035325
48.0728   47096   0.0556064   0.0493186   0.00248482
48.1152   48596   0.0701347   -0.0804192   0.0508348
48.1998   11740   0.0421645   -0.263569   0.276891
48.2843   47882   0.0764526   0.0191667   0.00483403
48.4108   47978   0.0733965   -0.0159046   0.102926
48.7882   59908   0.0680821   -0.0386719   0.033471
48.8299   47514   0.0697983   0.0117101   -0.142617
48.8716   48448   0.0745287   -0.0366001   -0.0744131
48.955   97038   0.0744176   -0.00029389   -0.00564787
49.1212   48940   0.0730873   0.0371573   -0.0702391
49.2041   48122   0.0797978   -0.0665983   0.000582834
49.2869   48516   0.0759087   0.00354553   0.173801
49.452   11702   0.0563683   -0.0441734   0.42667
49.6576   47832   0.0779992   -0.150803   0.0723581
49.9441   15816   0.0700769   0.196312   -0.265424
50.0256   96058   0.0716943   -0.13154   -0.116016
50.1477   11858   0.0678484   -0.182706   0.184072
50.1883   72496   0.0756335   -0.025718   0.0177977
50.2694   48572   0.0745339   -0.0864853   -0.0554964
50.5524   48096   0.0792297   -0.0715312   -0.00144395
50.954   11904   0.0763388   -0.107056   -0.100894
51.1535   47656   0.0688528   -0.142711   -0.0271995
51.2332   47772   0.0722523   -0.0926868   0.146804
51.3126   47956   0.0709642   -0.0730531   -0.00556622
51.5108   47936   0.0766654   -0.160552   -0.101642
51.8264   11946   0.0779427   0.0325299   -0.226052
52.3351   46970   0.0676157   -0.187489   -0.119705
52.4518   23714   0.0695863   -0.157976   -0.197457
52.5294   47672   0.0683586   -0.186488   0.00195414
52.7617   11852   0.0745387   -0.385524   -0.117566
53.5286   15292   0.064962   -nan   -0.320129
53.6047   46986   0.0643972   -0.262437   -0.117853
53.7565   11870   0.0622067   0.0477539   -0.240507
54.7333   22850   0.0646736   -0.428301   0.0353919
54.8077   11724   0.0605189   0.0115871   -0.255259
55.9121   11308   0.0633122   0.16382   0.0891727
