 x y z label
1218 3 30 1 0
1219 3 31 1 0
1220 3 32 1 216
1221 4 0 1 0
1222 4 1 1 0
1223 4 2 1 0
1224 4 3 1 134
1225 4 4 1 0
1226 4 5 1 134
1227 4 6 1 0
1228 4 7 1 225
1229 4 8 1 225
1230 4 9 1 0
1231 4 10 1 0
1232 4 11 1 0
1233 4 12 1 0
1234 4 13 1 0
1235 4 14 1 0
1236 4 15 1 0
1237 4 16 1 0
1238 4 17 1 245
1239 4 18 1 245
1240 4 19 1 0
1241 4 20 1 50
1242 4 21 1 50
1243 4 22 1 50
1244 4 23 1 50
1245 4 24 1 166
1246 4 25 1 0
1247 4 26 1 0
1248 4 27 1 0
1249 4 28 1 206
1250 4 29 1 206
1251 4 30 1 206
1252 4 31 1 206
1253 4 32 1 0
1254 5 0 1 0
1255 5 1 1 266
1256 5 2 1 268
1257 5 3 1 0
1258 5 4 1 0
1259 5 5 1 0
1260 5 6 1 225
1261 5 7 1 225
1262 5 8 1 225
1263 5 9 1 0
1264 5 10 1 0
1265 5 11 1 0
1266 5 12 1 0
1267 5 13 1 0
1268 5 14 1 0
1269 5 15 1 0
1270 5 16 1 245
1271 5 17 1 245
1272 5 18 1 245
1273 5 19 1 0
1274 5 20 1 0
1275 5 21 1 0
1276 5 22 1 0
1277 5 23 1 50
1278 5 24 1 166
1279 5 25 1 0
1280 5 26 1 0
1281 5 27 1 0
1282 5 28 1 0
1283 5 29 1 206
1284 5 30 1 206
1285 5 31 1 206
1286 5 32 1 0
1287 6 0 1 0
1288 6 1 1 0
1289 6 2 1 0
1290 6 3 1 0
1291 6 4 1 0
1292 6 5 1 0
1293 6 6 1 225
1294 6 7 1 225
1295 6 8 1 225
1296 6 9 1 0
1297 6 10 1 321
1298 6 11 1 321
1299 6 12 1 0
1300 6 13 1 0
1301 6 14 1 0
1302 6 15 1 0
1303 6 16 1 0
1304 6 17 1 245
1305 6 18 1 0
1306 6 19 1 0
1307 6 20 1 0
1308 6 21 1 0
1309 6 22 1 0
1310 6 23 1 0
1311 6 24 1 166
1312 6 25 1 0
1313 6 26 1 0
1314 6 27 1 0
1315 6 28 1 343
1316 6 29 1 0
1317 6 30 1 0
1318 6 31 1 206
1319 6 32 1 0
1320 7 0 1 0
1321 7 1 1 0
1322 7 2 1 0
1323 7 3 1 349
1324 7 4 1 349
1325 7 5 1 0
1326 7 6 1 0
1327 7 7 1 225
1328 7 8 1 0
1329 7 9 1 0
1330 7 10 1 0
1331 7 11 1 0
1332 7 12 1 0
1333 7 13 1 0
1334 7 14 1 0
1335 7 15 1 0
1336 7 16 1 0
1337 7 17 1 0
1338 7 18 1 0
1339 7 19 1 0
1340 7 20 1 0
1341 7 21 1 0
1342 7 22 1 0
1343 7 23 1 0
1344 7 24 1 0
1345 7 25 1 0
1346 7 26 1 0
1347 7 27 1 0
1348 7 28 1 0
1349 7 29 1 0
1350 7 30 1 0
1351 7 31 1 385
1352 7 32 1 0
1353 8 0 1 0
