 x y z label
623 18 29 0 765
624 18 30 0 0
625 18 31 0 0
626 18 32 0 0
627 19 0 0 0
628 19 1 0 0
629 19 2 0 0
630 19 3 0 0
631 19 4 0 0
632 19 5 0 0
633 19 6 0 0
634 19 7 0 922
635 19 8 0 0
636 19 9 0 0
637 19 10 0 0
638 19 11 0 0
639 19 12 0 798
640 19 13 0 798
641 19 14 0 0
642 19 15 0 0
643 19 16 0 0
644 19 17 0 0
645 19 18 0 0
646 19 19 0 0
647 19 20 0 0
648 19 21 0 947
649 19 22 0 947
650 19 23 0 947
651 19 24 0 0
652 19 25 0 0
653 19 26 0 0
654 19 27 0 0
655 19 28 0 765
656 19 29 0 765
657 19 30 0 0
658 19 31 0 0
659 19 32 0 0
660 20 0 0 0
661 20 1 0 0
662 20 2 0 775
663 20 3 0 775
664 20 4 0 0
665 20 5 0 0
666 20 6 0 976
667 20 7 0 0
668 20 8 0 982
669 20 9 0 982
670 20 10 0 0
671 20 11 0 798
672 20 12 0 798
673 20 13 0 798
674 20 14 0 0
675 20 15 0 0
676 20 16 0 0
677 20 17 0 0
678 20 18 0 0
679 20 19 0 0
680 20 20 0 0
681 20 21 0 947
682 20 22 0 947
683 20 23 0 0
684 20 24 0 0
685 20 25 0 1002
686 20 26 0 0
687 20 27 0 0
688 20 28 0 0
689 20 29 0 0
690 20 30 0 0
691 20 31 0 0
692 20 32 0 0
693 21 0 0 0
694 21 1 0 0
695 21 2 0 1013
696 21 3 0 0
697 21 4 0 0
698 21 5 0 0
699 21 6 0 0
700 21 7 0 0
701 21 8 0 982
702 21 9 0 982
703 21 10 0 0
704 21 11 0 0
705 21 12 0 798
706 21 13 0 798
707 21 14 0 0
708 21 15 0 0
709 21 16 0 0
710 21 17 0 0
711 21 18 0 1035
712 21 19 0 0
713 21 20 0 1041
714 21 21 0 947
715 21 22 0 0
716 21 23 0 0
717 21 24 0 0
718 21 25 0 0
719 21 26 0 0
720 21 27 0 0
721 21 28 0 0
722 21 29 0 0
723 21 30 0 0
724 21 31 0 0
725 21 32 0 0
726 22 0 0 0
727 22 1 0 0
728 22 2 0 0
729 22 3 0 0
730 22 4 0 0
731 22 5 0 0
732 22 6 0 0
733 22 7 0 0
734 22 8 0 0
735 22 9 0 0
736 22 10 0 1072
737 22 11 0 0
738 22 12 0 0
739 22 13 0 0
740 22 14 0 0
741 22 15 0 0
742 22 16 0 0
743 22 17 0 0
744 22 18 0 1081
745 22 19 0 1081
746 22 20 0 0
747 22 21 0 0
748 22 22 0 0
749 22 23 0 0
750 22 24 0 0
751 22 25 0 0
752 22 26 0 0
753 22 27 0 0
754 22 28 0 0
755 22 29 0 0
756 22 30 0 0
757 22 31 0 0
758 22 32 0 0
759 23 0 0 0
760 23 1 0 0
761 23 2 0 0
762 23 3 0 0
763 23 4 0 0
764 23 5 0 0
765 23 6 0 0
766 23 7 0 0
767 23 8 0 0
768 23 9 0 0
769 23 10 0 0
770 23 11 0 0
771 23 12 0 0
772 23 13 0 0
773 23 14 0 1076
774 23 15 0 1076
775 23 16 0 0
776 23 17 0 0
777 23 18 0 0
778 23 19 0 0
779 23 20 0 0
780 23 21 0 0
781 23 22 0 0
782 23 23 0 0
783 23 24 0 0
784 23 25 0 0
785 23 26 0 0
786 23 27 0 1133
787 23 28 0 0
788 23 29 0 1136
789 23 30 0 0
790 23 31 0 0
791 23 32 0 0
792 24 0 0 0
793 24 1 0 0
794 24 2 0 0
795 24 3 0 0
796 24 4 0 0
797 24 5 0 1151
798 24 6 0 0
799 24 7 0 1156
800 24 8 0 0
801 24 9 0 0
802 24 10 0 0
803 24 11 0 0
804 24 12 0 0
805 24 13 0 0
806 24 14 0 0
807 24 15 0 1076
808 24 16 0 0
809 24 17 0 0
810 24 18 0 1173
811 24 19 0 1040
812 24 20 0 0
813 24 21 0 0
814 24 22 0 0
815 24 23 0 0
816 24 24 0 0
817 24 25 0 0
818 24 26 0 0
819 24 27 0 1186
820 24 28 0 0
821 24 29 0 0
822 24 30 0 0
823 24 31 0 0
824 24 32 0 0
825 25 0 0 0
826 25 1 0 0
827 25 2 0 1196
828 25 3 0 1196
829 25 4 0 0
830 25 5 0 0
831 25 6 0 0
832 25 7 0 1156
833 25 8 0 0
834 25 9 0 0
835 25 10 0 0
836 25 11 0 1220
837 25 12 0 0
838 25 13 0 0
839 25 14 0 0
840 25 15 0 0
841 25 16 0 0
842 25 17 0 0
843 25 18 0 0
844 25 19 0 1040
845 25 20 0 0
846 25 21 0 0
847 25 22 0 0
848 25 23 0 1243
849 25 24 0 1243
850 25 25 0 0
851 25 26 0 0
852 25 27 0 0
853 25 28 0 0
854 25 29 0 0
855 25 30 0 1092
856 25 31 0 0
857 25 32 0 0
858 26 0 0 1259
859 26 1 0 0
860 26 2 0 1196
861 26 3 0 0
862 26 4 0 0
863 26 5 0 0
864 26 6 0 0
865 26 7 0 0
866 26 8 0 0
867 26 9 0 0
868 26 10 0 0
869 26 11 0 1220
870 26 12 0 1220
871 26 13 0 0
872 26 14 0 0
873 26 15 0 0
874 26 16 0 0
875 26 17 0 0
876 26 18 0 1040
877 26 19 0 1040
878 26 20 0 0
879 26 21 0 0
880 26 22 0 0
881 26 23 0 1243
882 26 24 0 1243
883 26 25 0 0
884 26 26 0 1296
885 26 27 0 0
886 26 28 0 0
887 26 29 0 0
888 26 30 0 1092
889 26 31 0 0
890 26 32 0 1259
891 27 0 0 0
892 27 1 0 0
893 27 2 0 1310
894 27 3 0 0
895 27 4 0 0
896 27 5 0 0
897 27 6 0 0
898 27 7 0 0
899 27 8 0 0
900 27 9 0 0
901 27 10 0 0
902 27 11 0 0
903 27 12 0 0
904 27 13 0 0
905 27 14 0 1326
906 27 15 0 1331
907 27 16 0 0
908 27 17 0 0
909 27 18 0 0
910 27 19 0 0
911 27 20 0 0
912 27 21 0 0
913 27 22 0 0
914 27 23 0 0
915 27 24 0 0
916 27 25 0 0
