atom1 bx by bz nx ny nz
487 -0.136596 -0.225414 -0.96464 0 1 12
488 -0.252026 -0.174792 -0.951804 0 1 11
489 -0.372886 -0.186845 -0.90887 0 1 11
490 -0.329397 -0.136579 -0.934261 0 0 11
491 -0.111146 -0.216613 -0.96991 0 0 11
492 -0.235734 -0.249272 -0.939304 0 0 10
493 -0.286436 -0.192647 -0.938532 0 0 10
494 -0.19645 -0.200729 -0.959747 0 0 10
495 -0.299869 -0.213431 -0.929799 0 0 10
496 -0.220422 -0.195643 -0.955582 0 0 10
497 -0.101496 -0.134817 -0.985659 0 0 9
498 -0.151073 -0.00460972 -0.988512 0 0 9
499 -0.307361 -0.278965 -0.909784 0 0 9
501 0.623722 0.240854 -0.743613 6 2 0
502 0.0456353 0.613592 -0.788303 6 2 0
503 -0.205776 -0.124948 -0.97059 6 2 0
504 -0.306219 -0.128969 -0.943185 6 2 0
505 0.261363 0.287871 -0.921314 6 2 0
506 -0.573793 0.665353 -0.477563 6 2 0
507 0.0740765 0.905658 -0.417489 6 2 0
508 -0.00185174 0.930183 -0.367092 6 2 0
509 -0.0526733 0.896365 -0.440177 6 3 0
510 0.167308 0.895958 -0.411421 6 3 0
511 -0.94409 0.305215 -0.124654 6 3 0
512 -0.24411 0.960292 -0.13509 6 3 0
513 -0.0462195 0.984068 -0.171678 6 3 0
514 -0.210722 0.951938 -0.222286 6 4 0
515 -0.253357 0.934688 -0.249335 6 4 0
516 0.536095 0.843809 -0.024249 6 4 0
517 0.550679 0.831133 0.0772683 6 4 0
518 0.605956 -0.304362 0.73497 6 4 0
519 -0.124943 -0.919275 0.373259 6 4 0
520 -0.013087 -0.915814 0.401389 6 4 0
521 -0.195163 -0.934409 0.297977 6 4 0
522 -0.0983288 -0.941044 0.323679 6 4 0
523 -0.128562 -0.953705 0.271878 6 3 0
524 0.215211 -0.485619 0.847266 6 3 0
525 0.746656 0.260341 0.61215 6 3 0
526 0.0744649 0.919605 0.385722 6 3 0
527 0.035613 0.877389 0.478455 6 3 0
528 0.181149 0.907596 0.378754 6 4 0
529 0.0379465 0.92994 0.365749 6 4 0
530 -0.349488 0.803545 -0.481844 6 4 0
531 -0.402884 0.883245 -0.239922 6 4 0
532 0.486585 0.856852 -0.170412 6 5 0
533 0.498567 0.818962 -0.284133 6 5 0
534 0.526745 0.837383 -0.146046 7 5 0
535 0.489673 0.856433 -0.163531 7 5 0
536 -0.274856 0.887424 0.370045 7 5 0
537 -0.332947 0.763132 0.553873 7 6 0
538 0.343809 0.629154 0.697108 7 6 0
539 -0.0358845 -0.824148 0.565236 7 6 0
540 -0.731863 -0.675236 0.0918312 7 6 0
541 0.0322415 -0.858903 0.511122 6 5 0
542 0.214442 -0.814507 0.539067 6 5 0
543 0.0576525 -0.821213 0.567702 6 5 0
544 -0.738899 -0.644346 0.197095 6 5 0
545 -0.12637 -0.851744 -0.508491 6 5 0
546 -0.0386129 -0.799821 -0.598995 6 4 0
547 -0.0366448 -0.72143 0.691517 6 4 0
548 -0.10769 -0.678005 0.727126 6 4 0
549 -0.13166 -0.481003 0.866777 6 4 0
550 -0.250943 -0.503127 0.826977 6 4 0
551 -0.324008 -0.559766 0.76268 6 4 0
552 -0.429254 -0.468715 0.772041 6 4 0
553 -0.375657 -0.508272 0.774946 6 3 1
554 -0.565695 -0.497132 0.657912 6 3 1
555 -0.447953 -0.45147 0.771695 6 3 1
556 -0.602153 -0.491615 0.629068 6 3 1
557 -0.532244 -0.517179 0.670255 5 3 1
558 -0.450196 -0.611506 0.650679 5 3 1
559 -0.560152 -0.519124 0.645554 5 3 2
560 -0.436494 -0.450901 0.778564 5 3 2
561 -0.470696 -0.56855 0.674683 5 2 2
562 -0.445458 -0.479573 0.756028 5 2 2
563 -0.433448 -0.445236 0.78351 5 2 2
564 -0.487399 -0.568642 0.662638 5 2 2
565 -0.615053 -0.486497 0.620508 4 2 3
566 -0.533955 -0.447929 0.717114 4 2 3
567 -0.478946 -0.581048 0.658023 4 2 3
568 -0.338815 -0.482891 0.807478 4 1 3
569 -0.325972 -0.628515 0.706195 4 1 3
570 -0.840322 -0.244103 0.484018 4 1 3
571 -0.872501 -0.29958 0.385997 4 1 4
572 -0.874542 -0.25357 0.413374 3 1 4
573 -0.331616 -0.471535 -0.81712 3 1 4
574 -0.505418 -0.440884 -0.741737 3 1 3
575 0.297452 -0.0893166 -0.95055 3 1 3
576 0.538748 0.65312 -0.532152 3 1 3
577 0.34084 -0.174594 -0.923767 3 1 3
578 0.424262 -0.210704 -0.880685 3 1 3
579 0.56339 -0.322729 -0.760551 4 1 2
580 0.428429 -0.412137 -0.804109 4 1 2
581 0.966881 -0.225483 -0.11958 4 1 2
582 0.401044 0.646521 -0.648979 4 1 2
583 0.352203 0.669509 -0.653996 4 1 2
584 0.494514 0.628885 -0.599966 4 1 2
585 0.429762 0.467858 -0.772278 4 1 1
586 0.43943 0.579222 -0.686589 4 1 1
587 0.430861 0.609958 -0.665064 5 1 1
588 0.528282 0.478821 -0.701176 5 2 1
589 0.400635 0.480009 -0.780438 5 2 1
590 0.441724 0.666349 -0.600716 5 2 1
591 0.274234 0.618686 -0.736222 5 2 0
592 0.196233 0.373689 -0.906559 5 2 0
593 0.702021 0.657156 -0.274432 5 2 0
594 0.249232 0.334316 -0.908909 5 2 0
595 0.272275 0.482085 -0.832743 5 2 0
596 0.145919 0.576379 -0.804049 5 3 0
597 0.152078 0.61751 -0.771721 5 3 0
598 0.309603 0.686947 -0.657457 5 3 0
599 -0.693472 0.598714 -0.400798 5 3 0
701 -0.0221058 0.628712 -0.777324 2 13 13
702 -0.0934745 0.551444 -0.828959 2 14 13
703 -0.0210271 0.46428 -0.885439 2 14 13
704 0.0950118 0.483344 -0.870259 2 14 13
705 0.104311 0.43463 -0.894548 2 14 12
706 0.0799683 0.426364 -0.90101 2 14 12
707 -0.0658 0.378253 -0.923361 2 14 12
708 -0.062211 0.468255 -0.881401 2 14 12
709 -0.0611701 0.340429 -0.938278 2 14 11
710 -0.0632864 0.404252 -0.912455 2 14 11
711 0.0081354 0.410307 -0.911911 2 15 11
712 0.0732985 0.396492 -0.915107 2 15 11
713 -0.0614915 0.38722 -0.919935 2 15 10
714 -0.10553 0.443753 -0.889914 2 15 10
715 -0.0472504 0.408793 -0.911403 2 15 10
